Stat Bonus,Relic,,Rank,Relic Description
Defense,"5740-NG, Impenetrable Plate of 4080",,10,"At the end of each enemy's turn, this relic Attacks a random enemy if the bearer didn't take any damage."
Defense,"5740-NG, Impenetrable Plate of 4080",,20,"After this relic Attacks, the bearer gains 10% Defense."
Defense,"5740-NG, Impenetrable Plate of 4080",,30,The bearer gains 15% more Defense and Maximum Health from stat-boosting effects and can't lose these stats.
Defense,"5740-NG, Impenetrable Plate of 4080",,40,The bearer takes 30% less indirect damage.
Defense,"5740-NG, Impenetrable Plate of 4080",,50,"After this relic Attacks, the bearer gains 10% Maximum Health."
Defense,"5740-NG, Impenetrable Plate of 4080",,60,"At the end of each enemy's turn, this relic has a 20% chance to Cast Stone Skin on the bearer."
Defense,"5740-NG, Impenetrable Plate of 4080",,70,The bearer takes 30% less damage from attacks and spells.
Defense,"5740-NG, Impenetrable Plate of 4080",,80,"At the end of each ally's turn, this relic has a 20% chance to Cast Iron Skin on the bearer."
Defense,"5740-NG, Impenetrable Plate of 4080",,90,"After the bearer gains Maximum Health, it recovers Health equal to 50% of the amount gained."
Defense,"5740-NG, Impenetrable Plate of 4080",,100,"The bearer has a 100% chance to avoid damage, minus 10% for each time this effect has activated in the current battle."
Speed,"ASSKICKER, SPARE BOOT OF TORUN",,10,"After the bearer Attacks, it has a 15% chance to send the target to the bottom of the Timeline."
Speed,"ASSKICKER, SPARE BOOT OF TORUN",,20,This relic and its bearer deal 50% more damage to the bottom-most enemy on the Timeline.
Speed,"ASSKICKER, SPARE BOOT OF TORUN",,30,"At the start of its bearer's turn, this relic Attacks the bottom-most enemy on the Timeline."
Speed,"ASSKICKER, SPARE BOOT OF TORUN",,40,"After this relic or its bearer Attack, the bearer gains 20% Speed."
Speed,"ASSKICKER, SPARE BOOT OF TORUN",,50,"After its bearer Attacks, this relic Attacks the same target."
Speed,"ASSKICKER, SPARE BOOT OF TORUN",,60,The bearer is immune to Snared.
Speed,"ASSKICKER, SPARE BOOT OF TORUN",,70,This relic and its bearer's attacks and spells deal additional damage equal to 20% of their Speed.
Speed,"ASSKICKER, SPARE BOOT OF TORUN",,80,This relic and its bearer Attack enemies 1 additional time for each enemy between the bearer and its target on the Timeline.
Speed,"ASSKICKER, SPARE BOOT OF TORUN",,90,This relic's attacks and spells ignore 25% of its target's Defense.
Speed,"ASSKICKER, SPARE BOOT OF TORUN",,100,"At the start of battle, this relic Casts Infernal Charge on its bearer."
Intelligence,"Amalgam, Warped Mirror of T'mere M'rgo",,10,"After the bearer Attacks, this relic Attacks the enemy as well."
Intelligence,"Amalgam, Warped Mirror of T'mere M'rgo",,20,"After this relic Attacks, it afflicts the enemy with Inverted. The potency of this debuff is equal to 10% of the bearer's highest stat."
Intelligence,"Amalgam, Warped Mirror of T'mere M'rgo",,30,"After an enemy takes damage from Inverted, this relic heals the bearer for 50% Health. If the bearer is dead, it is resurrected with 20% Health."
Intelligence,"Amalgam, Warped Mirror of T'mere M'rgo",,40,The bearer takes less damage from attacks and spells equal to 20% of the enemy's Inverted potency.
Intelligence,"Amalgam, Warped Mirror of T'mere M'rgo",,50,"When an enemy's Inverted potency would decrease, this relic has a 50% chance to prevent that from happening."
Intelligence,"Amalgam, Warped Mirror of T'mere M'rgo",,60,Enemies heal your creatures 1 additional time with Inverted.
Intelligence,"Amalgam, Warped Mirror of T'mere M'rgo",,70,"At the start of the bearer's turn, enemies' Inverted debuffs gain 50% potency."
Intelligence,"Amalgam, Warped Mirror of T'mere M'rgo",,80,"After the bearer manually Casts a spell, this relic Casts Spectral Rain."
Intelligence,"Amalgam, Warped Mirror of T'mere M'rgo",,90,This relic and its bearer deal additional damage with attacks and spells equal to 20% of the enemy's Inverted potency.
Intelligence,"Amalgam, Warped Mirror of T'mere M'rgo",,100,"After an enemy's Inverted debuff wears off, this relic afflicts it with Inverted again. The potency of this debuff is equal to 30% of the bearer's highest stat."
Health,"Arbiter, Holy Shield of Surathli",,10,"At the start of battle, the bearer gains Shelled."
Health,"Arbiter, Holy Shield of Surathli",,20,The bearer gains 100% more healing.
Health,"Arbiter, Holy Shield of Surathli",,30,"At the start of its bearer's turnn, this relic Attacks a random enemy."
