Name,Species,Class,Hlt,Atk,Int,Def,Spd,Total,R. Depth,Source,Trait Name,Item Name,Trait Description
Average Stats,,,34,19,19,18,18,108,,,,,
Cloth Abomination,Abomination,Death,42,22,12,17,17,110,1,Obtain Abomination Plush and bother it repeatedly,Extra Padding,No Material Exists,"At the start of battle, this creature gains a Barrier that absorbs damage equal to 200% of its highest stat."
Abomination Brute,Abomination,Death,42,22,12,17,17,110,15,"Path of the Damned, Titan's Wound, Forgotten Lab",Flesh Rot,Brute Stitches,"After an enemy is afflicted with either Weak or Vulnerable, this creature afflicts them with whichever of these debuffs the target doesn't already have."
Bile Abomination,Abomination,Death,42,22,12,17,17,110,90,"Path of the Damned, Titan's Wound, Forgotten Lab",Frailty,Bile Stitches,"When this creature Attacks an enemy with Vulnerable, it deals 100% more damage, recovers Health equal to 100% of the damage dealt, and removes this debuff."
Gore Abomination,Abomination,Death,36,23,13,18,18,108,60,"Path of the Damned, Titan's Wound, Forgotten Lab",Manipulate Fear,Gore Stitches,Enemy creatures with Weak have 50% less Attack and cannot deal critical damage. This trait does not stack.
Abomination Volatile,Abomination,Death,40,23,13,18,18,112,45,"Path of the Damned, Titan's Wound, Forgotten Lab",Quell,Volatile Stitches,"When this creature Attacks an enemy with Vulnerable, it deals 100% more damage. If this damage exceeds 35% of the target's Current Health, the target dies."
Wandering Abomination,Abomination,Death,39,22,12,17,17,107,75,"Path of the Damned, Titan's Wound, Forgotten Lab",Sin and Sentence,Wandering Stitches,"After this creature Attacks an enemy with both Weak and Vulnerable, it has a 50% chance to kill the target."
Ritual Abomination,Abomination,Death,42,22,12,17,17,110,10,"Path of the Damned, Titan's Wound, Forgotten Lab",Turn to Grey,Ritual Stitches,"After this creature is Attacked, enemies are afflicted with Vulnerable."
Flesh Abomination,Abomination,Death,36,23,13,18,18,108,30,"Path of the Damned, Titan's Wound, Forgotten Lab",Wretchedness,Flesh Stitches,Your creatures' attacks against enemy creatures with Vulnerable cannot be Dodged and have a 50% greater chance to deal critical damage. This trait does not stack.
Ryetrap,Alemental,Death,31,19,19,19,19,107,37,Gambling Dwarf Shop,Alcoholism,Bottle of Ryetrap,"After an enemy is afflicted with a debuff, they have a 10% chance to be sent to the bottom of the Timeline. This trait does not stack."
Vulperry,Alemental,Nature,33,18,18,18,18,105,37,Gambling Dwarf Shop,Bob and Weave,Bottle of Vulperry,Your creatures have an independent 25% chance to dodge for each buff the enemy has. This trait does not stack.
Lagergoyle,Alemental,Chaos,33,18,18,18,18,105,37,Gambling Dwarf Shop,Drinking Game,Bottle of Lagergoyle,"At the start of each enemy's turn, they have a 5% chance to be killed. This trait does not stack."
Woodka,Alemental,Nature,32,17,20,20,20,109,37,Gambling Dwarf Shop,Drunken Brawler,Bottle of Woodka,"After your creatures Dodge an attack, they counter-attack for 40% normal damage. This trait does not stack."
